% AIRS Jan04 fast model fitting results over the 48 training
% profiles at 6 angles.  BT is the mean of the 288 (=48*6)
% BTobs spectra, RMS is the RMS of BTobs-BTcal, and amax is
% the maximum absolute value of BTobs-BTcal.
%
% Scott Hannon, 8 January 2004
%
% ID     freq      BT      RMS    amax
%----  --------  ------  ------  ------
  374   759.245  265.43  0.0373  0.1219
  375   759.573  268.50  0.0074  0.0263
  376   759.902  266.68  0.0275  0.0974
  377   760.231  261.20  0.0829  0.2988
  378   760.561  262.72  0.0676  0.2037
  379   760.890  267.62  0.0140  0.0534
  380   761.220  268.66  0.0158  0.0565
  381   761.550  264.94  0.0530  0.2019
  382   761.881  262.56  0.0794  0.2822
  383   762.211  266.84  0.0294  0.1100
  384   762.542  268.76  0.0068  0.0288
  385   762.873  267.97  0.0293  0.1261
  386   763.205  263.93  0.0673  0.2394
  387   763.537  265.31  0.0502  0.2090
  388   763.869  268.46  0.0080  0.0275
  389   764.201  268.67  0.0075  0.0252
  390   764.534  266.16  0.0406  0.1903
  391   764.867  264.82  0.0540  0.2240
  392   765.200  267.84  0.0211  0.0922
  393   765.534  269.13  0.0060  0.0316
  394   765.867  268.54  0.0189  0.0820
  395   766.202  266.07  0.0305  0.1294
  396   766.536  267.21  0.0238  0.1011
  397   766.871  268.78  0.0193  0.0782
  398   767.205  268.03  0.0186  0.0801
  399   767.541  267.17  0.0223  0.0808
  400   767.876  267.05  0.0193  0.0718
  401   768.212  268.38  0.0134  0.0505
  402   768.548  267.56  0.0157  0.0789
  403   768.884  264.46  0.0214  0.0803
  404   769.221  265.27  0.0179  0.0785
  405   769.558  267.17  0.0154  0.0470
  406   769.895  266.14  0.0193  0.1261
  407   770.233  265.82  0.0220  0.1439
  408   770.570  268.19  0.0122  0.0470
  409   770.909  267.93  0.0178  0.0680
  410   771.247  267.90  0.0129  0.0458
  411   771.586  268.50  0.0112  0.0437
  412   771.925  269.14  0.0114  0.0444
  413   772.264  269.24  0.0102  0.0391
  414   772.603  268.67  0.0112  0.0429
  415   772.943  268.99  0.0106  0.0415
  416   773.283  269.33  0.0068  0.0290
  417   773.624  269.60  0.0097  0.0393
  418   773.964  268.80  0.0093  0.0325
  419   774.305  268.50  0.0127  0.0489
  420   774.647  269.17  0.0102  0.0405
  421   774.988  268.68  0.0141  0.0610
  422   775.330  265.51  0.0142  0.0612
  423   775.672  263.86  0.0188  0.0859
  424   776.015  267.44  0.0154  0.0785
  425   776.357  268.32  0.0127  0.0475
  426   776.700  264.85  0.0184  0.0729
  427   777.044  262.21  0.0220  0.0902
  428   777.387  265.93  0.0123  0.0519
  429   777.731  268.86  0.0094  0.0335
  430   778.076  269.39  0.0100  0.0402
  431   778.420  269.27  0.0087  0.0353
  432   778.765  268.11  0.0125  0.0458
  433   779.110  265.83  0.0171  0.0843
  434   779.455  266.37  0.0106  0.0391
  435   779.801  269.18  0.0060  0.0287
  436   780.147  269.52  0.0062  0.0234
  437   780.493  269.19  0.0066  0.0205
  438   780.840  269.66  0.0059  0.0214
  439   781.187  269.90  0.0073  0.0338
  440   781.534  269.96  0.0054  0.0217
  441   781.881  269.21  0.0074  0.0294
  442   789.263  270.34  0.0034  0.0171
  443   789.616  270.25  0.0036  0.0167
  444   789.970  270.12  0.0038  0.0180
  445   790.325  270.24  0.0029  0.0141
  446   790.680  270.13  0.0034  0.0151
  447   791.034  269.01  0.0175  0.0801
  448   791.390  261.29  0.0930  0.3349
  449   791.745  256.12  0.0727  0.2919
  450   792.101  261.25  0.0357  0.1543
  451   792.457  266.13  0.0178  0.0746
  452   792.814  268.34  0.0093  0.0327
  453   793.171  268.89  0.0079  0.0239
  454   793.528  267.28  0.0076  0.0288
  455   793.885  264.83  0.0162  0.0599
  456   794.243  267.03  0.0106  0.0441
  457   794.601  269.20  0.0078  0.0315
  458   794.960  268.94  0.0067  0.0318
  459   795.318  266.91  0.0102  0.0508
  460   795.677  261.38  0.0220  0.0918
  461   796.036  260.57  0.0184  0.0641
  462   796.396  266.37  0.0099  0.0513
  463   796.756  268.04  0.0067  0.0294
  464   797.116  267.81  0.0074  0.0400
  465   797.477  266.74  0.0106  0.0380
  466   797.837  266.69  0.0094  0.0467
  467   798.199  263.39  0.0256  0.0986
  468   798.560  257.65  0.0229  0.0902
  469   798.922  261.18  0.0184  0.0660
  470   799.284  266.95  0.0117  0.0473
  471   799.646  269.02  0.0068  0.0238
  472   800.009  268.94  0.0069  0.0245
  473   800.372  269.71  0.0052  0.0183
  474   800.736  270.32  0.0031  0.0113
  475   801.099  270.18  0.0038  0.0131
  476   801.463  269.35  0.0076  0.0277
  477   801.827  269.59  0.0071  0.0243
  478   802.192  270.31  0.0055  0.0202
  479   802.557  269.32  0.0078  0.0582
  480   802.922  266.25  0.0148  0.0628
  481   803.288  264.11  0.0186  0.0669
  482   803.654  265.67  0.0135  0.0472
  483   804.020  269.05  0.0075  0.0470
  484   804.386  269.72  0.0069  0.0269
  485   804.753  269.48  0.0081  0.0294
  486   805.120  270.31  0.0046  0.0154
  487   805.488  270.57  0.0051  0.0233
  488   805.856  269.69  0.0069  0.0389
  489   806.224  269.07  0.0090  0.0387
  490   806.592  269.84  0.0058  0.0273
  491   806.961  270.47  0.0039  0.0357
  492   807.330  270.36  0.0045  0.0148
  493   807.699  268.55  0.0076  0.0363
  494   808.069  265.78  0.0171  0.0796
  495   808.439  266.81  0.0093  0.0383
  496   808.809  269.64  0.0047  0.0435
  497   809.180  269.72  0.0052  0.0186
  498   809.551  269.95  0.0057  0.0199
  499   809.923  270.74  0.0020  0.0081
  500   810.294  270.82  0.0018  0.0079
  501   810.666  270.32  0.0041  0.0138
  502   811.039  270.13  0.0050  0.0168
  503   811.411  270.71  0.0024  0.0081
  504   811.784  270.84  0.0026  0.0083
  505   812.157  270.46  0.0036  0.0115
  506   812.531  270.15  0.0048  0.0173
  507   812.905  270.50  0.0033  0.0124
  508   813.279  270.26  0.0046  0.0497
  509   813.654  267.79  0.0086  0.0536
  510   814.029  266.65  0.0106  0.0400
  511   814.404  267.05  0.0132  0.0443
  512   814.780  268.49  0.0109  0.0398
  513   815.155  270.26  0.0069  0.0287
  514   815.532  270.21  0.0052  0.0219
  515   815.908  270.50  0.0042  0.0158
  516   816.285  270.75  0.0069  0.0215
  517   816.662  270.71  0.0066  0.0195
  518   817.040  270.52  0.0039  0.0134
  519   817.418  270.65  0.0036  0.0144
  520   817.796  270.91  0.0038  0.0180
