% RMS difference of BT_sarta - BT_kcarta for 206 daytime
% FOVs using ECMWF profiles.  This is an independent
% profile test of sarta; compare with the results
% using the regression profiles (regprof_rms.txt).
%
% ID      freq    RMS
%----  --------  -----
  951   979.539  0.017
  952   979.950  0.017
  953   980.362  0.025
  954   980.774  0.022
  955   981.186  0.022
  956   981.599  0.029
  957   982.011  0.028
  958   982.425  0.023
  959   982.838  0.020
  960   983.252  0.014
  961   983.667  0.025
  962   984.081  0.036
  963   984.496  0.043
  964   984.912  0.031
  965   985.327  0.026
  966   985.743  0.031
  967   986.160  0.032
  968   986.576  0.033
  969   986.993  0.033
  970   987.411  0.024
  971   987.829  0.030
  972   988.247  0.032
  973   988.665  0.031
  974   989.084  0.029
  975   989.503  0.027
  976   989.923  0.021
  977   990.343  0.019
  978   990.763  0.023
  979   991.183  0.022
  980   991.604  0.019
  981   992.026  0.021
  982   992.447  0.017
  983   992.869  0.014
  984   993.292  0.018
  985   993.714  0.022
  986   994.137  0.011
  987   994.561  0.016
  988   994.984  0.012
  989   995.409  0.012
  990   995.833  0.014
  991   996.258  0.015
  992   996.683  0.010
  993   997.109  0.012
  994   997.535  0.013
  995   997.961  0.013
  996   998.388  0.013
  997   998.814  0.016
  998   999.242  0.013
  999   999.669  0.017
 1000  1000.098  0.013
 1001  1000.526  0.016
 1002  1000.955  0.015
 1003  1001.384  0.010
 1004  1001.813  0.018
 1005  1002.243  0.030
 1006  1002.674  0.019
 1007  1003.104  0.019
 1008  1003.535  0.017
 1009  1003.966  0.013
 1010  1004.398  0.019
 1011  1004.830  0.022
 1012  1005.263  0.021
 1013  1005.695  0.025
 1014  1006.129  0.021
 1015  1006.562  0.026
 1016  1006.996  0.034
 1017  1007.430  0.031
 1018  1007.865  0.025
 1019  1008.300  0.032
 1020  1008.735  0.034
 1021  1009.171  0.039
 1022  1009.607  0.054
 1023  1010.044  0.060
 1024  1010.480  0.051
 1025  1010.918  0.069
 1026  1011.355  0.040
 1027  1011.793  0.038
 1028  1012.231  0.040
 1029  1012.670  0.028
 1030  1013.109  0.034
 1031  1013.549  0.042
 1032  1013.988  0.078
 1033  1014.429  0.146
 1034  1014.869  0.121
 1035  1015.310  0.062
 1036  1015.751  0.070
