% RMS fitting errors for the 48 training profiles at 6 angles.
% September 2002 "m135f" AIRS-RTA
%
% These errors are the root mean square difference in the BT
% (brightness temperature) computed using the regression
% training data (convolved layer-to-space transmittances),
% and BT computed using the fast model.  For these calculations
% we used surface emissivity=unity and reflectivity=zero.
%
%  ID    freq     RMS
%----  --------  -----
 1118  1062.803  0.118
 1119  1063.285  0.113
 1120  1063.767  0.109
 1121  1064.249  0.100
 1122  1064.732  0.092
 1123  1065.215  0.080
 1124  1065.699  0.121
 1125  1066.183  0.135
 1126  1066.668  0.089
 1127  1067.153  0.061
 1128  1067.638  0.053
 1129  1068.124  0.036
 1130  1068.610  0.027
 1131  1069.097  0.027
 1132  1069.584  0.042
 1133  1070.071  0.035
 1134  1070.559  0.033
 1135  1071.047  0.028
 1136  1071.536  0.024
 1137  1072.025  0.023
 1138  1072.515  0.020
 1139  1073.005  0.024
 1140  1073.495  0.021
 1141  1073.986  0.019
 1142  1074.477  0.058
 1143  1074.969  0.045
 1144  1075.461  0.015
 1145  1075.954  0.019
 1146  1076.447  0.015
 1147  1076.940  0.013
 1148  1077.434  0.016
 1149  1077.928  0.009
 1150  1078.423  0.019
 1151  1078.918  0.016
 1152  1079.414  0.012
 1153  1079.910  0.015
 1154  1080.406  0.010
 1155  1080.903  0.021
 1156  1081.400  0.019
 1157  1081.898  0.010
 1158  1082.396  0.012
 1159  1082.895  0.008
 1160  1083.394  0.011
 1161  1083.893  0.009
 1162  1084.393  0.008
 1163  1084.893  0.010
 1164  1085.394  0.014
 1165  1085.895  0.010
 1166  1086.397  0.006
 1167  1086.899  0.008
